loan_amnt,term,int_rate,grade,annual_inc,verification_status,purpose,inq_last_6mths,revol_util,total_acc,is_bad,loan_amnt_per_installment,income_to_interest_ratio,prediction
5375, 60 months,0.1268999999999999,B,15000.0,VERIFIED - income,other,0.0,36.5,3.0,1,44.25689584191025,2.7906976744186047,0.3058408687002855
22800, 36 months,0.1221,B,43000.0,VERIFIED - income,debt_consolidation,1.0,70.9,32.0,0,30.01658811448432,1.8859649122807016,0.21235340151927293
5000, 36 months,0.0967,B,99600.0,VERIFIED - income,medical,0.0,70.3,28.0,0,31.13906707355048,19.92,0.09612820978445412
8000, 36 months,0.1242,B,40000.0,not verified,credit_card,0.0,88.2,11.0,0,29.925560169079414,5.0,0.13672194753604447
2500, 36 months,0.1878,F,65000.0,not verified,small_business,2.0,40.6,7.0,0,27.36127831892306,26.0,0.27070249203982266
17800, 36 months,0.1025,B,61781.0,VERIFIED - income,credit_card,4.0,51.1,31.0,0,30.8786538294735,3.4708426966292136,0.09320811011625084
14400, 36 months,0.1114,B,72000.0,VERIFIED - income,debt_consolidation,0.0,67.0,28.0,0,30.48264182895851,5.0,0.07995020730020459
11200, 60 months,0.1099,B,29000.0,not verified,debt_consolidation,0.0,11.3,24.0,0,46.003450258769405,2.5892857142857144,0.16085512275201613
10000, 36 months,0.138,C,42500.0,VERIFIED - income,debt_consolidation,3.0,0.6,16.0,0,29.341862034564713,4.25,0.11661647734632745
8000, 36 months,0.0999,B,53052.0,VERIFIED - income source,other,0.0,53.6,7.0,0,30.99573808601317,6.6315,0.10054508949050465
5750, 36 months,0.08,A,70000.0,VERIFIED - income source,credit_card,1.0,2.4,20.0,0,31.91076086353294,12.173913043478262,0.04606474257912497
13000, 36 months,0.089,A,25000.0,VERIFIED - income source,debt_consolidation,1.0,18.6,30.0,0,31.492248062015506,1.9230769230769231,0.14784722960152913
4000, 36 months,0.1903,E,80000.0,not verified,vacation,2.0,22.6,56.0,0,27.26838911991274,20.0,0.09333258456401304
6000, 36 months,0.089,A,71000.0,VERIFIED - income,debt_consolidation,0.0,67.5,24.0,1,31.492756665966827,11.833333333333334,0.07501432319429369
14075, 60 months,0.1268,C,61200.0,VERIFIED - income source,debt_consolidation,3.0,33.4,20.0,0,44.26796666142475,4.3481349911190055,0.18427544644831187
5500, 36 months,0.1261,C,48000.0,VERIFIED - income,wedding,0.0,46.3,5.0,0,29.844267187584787,8.727272727272727,0.08116851165430614
3300, 36 months,0.0849,A,28956.0,VERIFIED - income source,debt_consolidation,2.0,21.2,20.0,0,31.682027649769587,8.774545454545455,0.11347026484736655
12500, 36 months,0.1149,B,60000.0,not verified,other,0.0,10.5,21.0,0,30.32876379958753,4.8,0.07502836959269245
8000, 60 months,0.1491,D,44000.0,VERIFIED - income,debt_consolidation,0.0,63.4,12.0,1,42.1163464069492,5.5,0.19888806185861474
8000, 60 months,0.1558,D,55000.0,not verified,debt_consolidation,2.0,28.2,8.0,0,41.50023343881309,6.875,0.2079583658950046
13000, 36 months,0.0542,A,70000.0,not verified,credit_card,3.0,22.5,39.0,0,33.15649867374005,5.384615384615385,0.025810426838017344
2400, 36 months,0.1362,D,47600.0,not verified,debt_consolidation,1.0,35.2,7.0,0,29.415369530579728,19.833333333333332,0.10478505007045144
8000, 60 months,0.1839,E,36000.0,not verified,debt_consolidation,1.0,89.3,20.0,0,39.05296558457408,4.5,0.2965465590489049
6000, 36 months,0.1,B,79992.0,VERIFIED - income,other,0.0,74.5,30.0,0,30.99013480708641,13.332,0.07644039156955534
3200, 36 months,0.1149,B,31000.0,VERIFIED - income source,debt_consolidation,2.0,28.8,12.0,0,30.328878779262627,9.6875,0.13010115620614723
24000, 60 months,0.1149,B,60000.0,VERIFIED - income source,wedding,0.0,44.0,27.0,0,45.479524738966475,2.5,0.12368661244482083
12000, 60 months,0.1669,E,250000.0,VERIFIED - income,major_purchase,5.0,23.7,43.0,0,40.50769646232784,20.833333333333332,0.08040003103533645
1200, 36 months,0.1521,D,24000.0,VERIFIED - income source,home_improvement,0.0,56.0,7.0,0,28.75629043853343,20.0,0.18205116640882624
7000, 36 months,0.1223,C,25000.0,not verified,debt_consolidation,0.0,83.3,19.0,0,30.008145067947012,3.5714285714285716,0.16227939413202336
5000, 36 months,0.0729,A,65000.0,VERIFIED - income source,vacation,1.0,10.8,17.0,0,32.24766204450177,13.0,0.04256540868113847
14500, 36 months,0.1465,C,90000.0,VERIFIED - income,credit_card,1.0,46.7,28.0,0,28.99014335126057,6.206896551724138,0.07290965732182776
10000, 36 months,0.1644999999999999,E,55000.0,not verified,other,0.0,41.8,22.0,1,28.266154107072193,5.5,0.13030390754858254
5000, 36 months,0.1411,D,159996.0,VERIFIED - income,credit_card,0.0,98.5,35.0,0,29.214139643587497,31.9992,0.06542575204170249
9600, 36 months,0.1595,D,45000.0,not verified,debt_consolidation,7.0,48.5,29.0,0,28.462998102466795,4.6875,0.15071363896655404
15000, 60 months,0.1595,E,70000.0,VERIFIED - income source,small_business,0.0,47.9,3.0,1,41.165815906471266,4.666666666666667,0.3015312520797398
8000, 36 months,0.0751,A,51400.0,not verified,debt_consolidation,2.0,16.0,9.0,0,32.14271364859979,6.425,0.05087862459599121
16750, 36 months,0.1253,B,33000.0,VERIFIED - income,debt_consolidation,1.0,0.0,20.0,0,29.88030040851276,1.9701492537313432,0.19860548805987283
6000, 60 months,0.0729,A,130000.0,VERIFIED - income,small_business,0.0,14.8,38.0,0,50.154643484075905,21.666666666666668,0.06291504413436241
25000, 60 months,0.1361,C,137004.0,VERIFIED - income,debt_consolidation,0.0,54.6,34.0,0,43.352350564447605,5.48016,0.14925202979943847
15600, 60 months,0.1465,C,48575.0,VERIFIED - income source,debt_consolidation,1.0,56.8,22.0,0,42.36022483503951,3.113782051282051,0.23431587551722205
25000, 36 months,0.1074,B,155000.0,VERIFIED - income,debt_consolidation,0.0,26.6,36.0,0,30.659798871719403,6.2,0.06375116925685237
8000, 36 months,0.1221,B,81847.0,VERIFIED - income source,educational,5.0,41.0,21.0,0,30.016509079994,10.230875,0.06926807697054396
6500, 36 months,0.1268,C,55200.0,not verified,small_business,0.0,95.9,49.0,1,29.81377855242638,8.492307692307692,0.2079760935136196
15000, 36 months,0.1149,B,120000.0,VERIFIED - income,credit_card,0.0,32.2,27.0,1,30.32937703459571,8.0,0.042268634859816454
30000, 36 months,0.089,A,200000.0,VERIFIED - income source,debt_consolidation,0.0,20.8,17.0,0,31.492756665966827,6.666666666666667,0.05948376738894679
12000, 36 months,0.1171,B,47840.0,VERIFIED - income,debt_consolidation,0.0,68.5,8.0,0,30.232792502267458,3.986666666666667,0.11180960292018176
16400, 36 months,0.1099,B,61000.0,VERIFIED - income source,vacation,5.0,6.2,9.0,0,30.54913940838983,3.7195121951219514,0.0921695357093903
20000, 36 months,0.1322,C,61000.0,VERIFIED - income,house,3.0,6.3,22.0,0,29.584923522972694,3.05,0.10211450932883794
6000, 36 months,0.089,A,27600.0,VERIFIED - income source,debt_consolidation,0.0,46.6,6.0,0,31.492756665966827,4.6,0.14801784246011673
6200, 36 months,0.0603,A,65000.0,not verified,other,0.0,4.5,12.0,0,32.85464469291505,10.483870967741936,0.04316839389424277
4750, 36 months,0.0713999999999999,A,56000.0,not verified,debt_consolidation,0.0,77.3,12.0,0,32.31732208463737,11.789473684210526,0.05888150665456953
8000, 36 months,0.1217999999999999,B,36000.0,not verified,debt_consolidation,3.0,47.2,15.0,1,30.030030030030034,4.5,0.1827660323703778
1750, 36 months,0.157,D,22800.0,VERIFIED - income source,home_improvement,1.0,48.0,5.0,1,28.562102170719765,13.028571428571428,0.21747647381048243
1800, 60 months,0.1557,D,40000.0,not verified,other,4.0,74.8,16.0,0,41.50334332487895,22.22222222222222,0.26861569075660263
15000, 36 months,0.1038,B,90474.0,VERIFIED - income,debt_consolidation,1.0,19.9,62.0,0,30.820440115884853,6.0316,0.05841800280241007
20000, 60 months,0.0691,A,130000.0,VERIFIED - income,debt_consolidation,0.0,35.6,29.0,0,74.01650568076681,6.5,0.052113820041913346
14550, 36 months,0.1171,B,45000.0,VERIFIED - income source,credit_card,0.0,93.1,13.0,0,30.23313801271662,3.0927835051546393,0.11872010242936758
25000, 36 months,0.1253,C,115000.0,VERIFIED - income,wedding,1.0,49.6,17.0,1,29.88071618100543,4.6,0.07076270378323728
10000, 36 months,0.1065,B,51400.0,not verified,credit_card,3.0,59.1,24.0,0,30.69933075458955,5.14,0.07949315622850654
16750, 36 months,0.1149,B,46199.0,VERIFIED - income,credit_card,4.0,76.5,11.0,0,30.329367881652093,2.7581492537313435,0.11776377513270471
14000, 60 months,0.1528,D,82000.0,VERIFIED - income,home_improvement,8.0,41.3,28.0,0,41.77483364664459,5.857142857142857,0.1611238113891014
12000, 36 months,0.0729,A,61000.0,VERIFIED - income source,credit_card,0.0,48.9,14.0,0,32.24766204450177,5.083333333333333,0.047031298241418544
20000, 60 months,0.1689,D,120000.0,VERIFIED - income,debt_consolidation,1.0,71.1,27.0,0,40.33315183415008,6.0,0.17857661275908635
15000, 36 months,0.1599,D,100000.0,VERIFIED - income source,debt_consolidation,0.0,79.1,24.0,0,28.447343966318343,6.666666666666667,0.09660614909114774
20000, 60 months,0.2206,F,55200.0,VERIFIED - income,debt_consolidation,1.0,33.1,53.0,0,36.161787838790744,2.76,0.32737522581206957
35000, 36 months,0.1065,B,112800.0,VERIFIED - income,debt_consolidation,1.0,59.6,35.0,0,30.69986930627067,3.222857142857143,0.10126782258389605
30000, 60 months,0.1349,C,145000.0,VERIFIED - income,debt_consolidation,3.0,61.0,26.0,0,43.46881112801565,4.833333333333333,0.16824334035711075
9100, 36 months,0.0603,A,75000.0,VERIFIED - income,debt_consolidation,0.0,29.8,33.0,0,32.85554392172437,8.241758241758241,0.038898520129900034
12000, 36 months,0.1349,C,75000.0,VERIFIED - income source,debt_consolidation,1.0,70.0,32.0,0,29.471719429231033,6.25,0.10732263838991052
35000, 60 months,0.1929,E,65000.0,VERIFIED - income,debt_consolidation,3.0,68.2,27.0,0,61.65336715460902,1.8571428571428572,0.4353727756226348
16000, 36 months,0.1422,C,50000.0,not verified,credit_card,0.0,94.5,10.0,0,29.167806034089875,3.125,0.1394426865164498
8000, 36 months,0.1061999999999999,B,85000.0,not verified,major_purchase,0.0,39.2,7.0,0,30.71253071253071,10.625,0.04591857193349356
5000, 36 months,0.1099,B,137481.0,not verified,debt_consolidation,0.0,50.9,34.0,0,30.547409579667644,27.4962,0.0510341599072489
2800, 36 months,0.0962,B,47000.0,not verified,credit_card,0.0,78.4,10.0,0,31.16304952698943,16.785714285714285,0.06656288385502789
11975, 36 months,0.1629,D,58344.0,not verified,debt_consolidation,1.0,75.5,19.0,0,28.327774229413578,4.8721503131524,0.15621554447790528
6000, 60 months,0.1523,C,32400.0,not verified,car,1.0,69.2,15.0,0,41.820589670314355,5.4,0.18902935564355244
8000, 36 months,0.0788,A,122000.0,not verified,credit_card,5.0,25.9,25.0,0,31.96803196803197,15.25,0.01985361914331622
8000, 36 months,0.1677,D,65000.0,VERIFIED - income,debt_consolidation,1.0,94.6,8.0,1,28.138299743238015,8.125,0.19907663983085588
9600, 36 months,0.1,B,82000.0,not verified,debt_consolidation,6.0,17.4,24.0,0,30.99073506149724,8.541666666666666,0.06003851920518753
7500, 36 months,0.1038,B,52000.0,VERIFIED - income,debt_consolidation,1.0,22.4,41.0,0,30.81980686254366,6.933333333333334,0.07953874415825347
16800, 60 months,0.1595,D,180000.0,VERIFIED - income source,debt_consolidation,0.0,78.0,61.0,0,41.1663807890223,10.714285714285714,0.14485216171163473
4800, 36 months,0.0692,A,55000.0,VERIFIED - income,other,0.0,53.9,18.0,0,32.423669278573364,11.458333333333334,0.0570225972409694
11200, 36 months,0.1171,B,78402.0,not verified,debt_consolidation,0.0,31.3,16.0,0,30.23268369054689,7.000178571428571,0.059199160493043544
10000, 36 months,0.1110999999999999,B,65496.0,not verified,other,1.0,13.4,39.0,0,30.496172730322343,6.5496,0.05465287338569439
15000, 36 months,0.0988,B,200000.0,VERIFIED - income,debt_consolidation,1.0,67.5,18.0,0,31.04561635897011,13.333333333333334,0.07408655962990641
5000, 36 months,0.1071,B,30000.0,not verified,credit_card,0.0,45.3,24.0,0,30.67296484878229,6.0,0.09041505348345798
21000, 36 months,0.1316,C,114000.0,not verified,debt_consolidation,2.0,65.5,24.0,0,29.611664175526663,5.428571428571429,0.09253429476446434
5000, 36 months,0.1099,B,37560.0,not verified,debt_consolidation,0.0,96.2,8.0,0,30.549275982159227,7.512,0.1529194186527809
10500, 60 months,0.1306,C,75000.0,VERIFIED - income source,major_purchase,2.0,0.6,12.0,0,43.89081636918447,7.142857142857143,0.09411570265451806
8000, 36 months,0.1223,C,61000.0,not verified,credit_card,5.0,76.3,13.0,0,30.007501875468865,7.625,0.10448211480364032
21000, 60 months,0.1825,D,100000.0,VERIFIED - income,small_business,1.0,75.8,24.0,1,39.169604386995694,4.761904761904762,0.2924763267075684
6000, 36 months,0.0963,A,28000.0,not verified,major_purchase,1.0,4.3,8.0,0,31.157501168406295,4.666666666666667,0.08845922191188234
25000, 36 months,0.1607,D,130000.0,VERIFIED - income,credit_card,0.0,91.3,28.0,0,28.41393419332841,5.2,0.10700621679239121
5000, 36 months,0.1149,B,37500.0,not verified,home_improvement,1.0,92.1,21.0,0,30.328763799587527,7.5,0.1422986674443481
2100, 60 months,0.1483,D,45000.0,VERIFIED - income source,other,3.0,79.2,19.0,1,42.185616713539574,21.428571428571427,0.18520946957105036
11200, 36 months,0.1398,C,52800.0,VERIFIED - income source,credit_card,1.0,85.0,12.0,1,29.266508139747575,4.714285714285714,0.11673071549823652
6000, 36 months,0.1596,C,39168.0,not verified,debt_consolidation,1.0,81.6,30.0,1,28.4589479675568,6.528,0.18513267619678686
4000, 36 months,0.1,B,58000.0,VERIFIED - income source,debt_consolidation,0.0,52.6,29.0,0,30.990935151468197,14.5,0.0856251026227928
29000, 36 months,0.1565,D,88812.93,VERIFIED - income,credit_card,2.0,85.9,27.0,0,28.584101325710908,3.062514827586207,0.1133116147567593
5000, 60 months,0.1599,D,42000.0,not verified,other,2.0,16.6,37.0,0,41.12856790326561,8.4,0.20888894993274573
15850, 60 months,0.1864,E,43000.0,VERIFIED - income,other,2.0,48.5,12.0,0,38.845182952233905,2.7129337539432177,0.3982335342648223
20000, 60 months,0.1839,E,115000.0,not verified,debt_consolidation,2.0,71.3,46.0,0,39.05258430476637,5.75,0.1530031829013878
22500, 36 months,0.1183,B,93000.0,not verified,home_improvement,0.0,47.9,27.0,0,30.180276853739674,4.133333333333334,0.06535393832846047
2100, 36 months,0.1221,B,10000.0,not verified,educational,0.0,6.2,4.0,0,30.012862655423753,4.761904761904762,0.1256636477305812
24000, 36 months,0.1496,D,350000.0,not verified,small_business,7.0,56.0,33.0,0,28.862805464691167,14.583333333333334,0.15015252207360155
12000, 60 months,0.1669,E,51996.0,VERIFIED - income source,debt_consolidation,3.0,63.0,14.0,0,40.50769646232784,4.333,0.2515164691613297
14000, 36 months,0.0751,A,140000.0,VERIFIED - income source,credit_card,0.0,20.6,50.0,0,32.14252915786574,10.0,0.01843455759425039
7150, 36 months,0.0699,A,61200.0,not verified,debt_consolidation,0.0,51.0,20.0,0,32.39104829210836,8.55944055944056,0.051653042302183226
15500, 60 months,0.1349,C,40000.0,VERIFIED - income source,debt_consolidation,2.0,57.0,8.0,0,43.46850636603287,2.5806451612903225,0.31545812494736347
2500, 36 months,0.1114,B,25000.0,not verified,house,0.0,73.1,10.0,0,30.484087306426044,10.0,0.09501255652152753
24000, 36 months,0.1843,F,600000.0,VERIFIED - income,major_purchase,1.0,39.0,38.0,1,27.495188342040144,25.0,0.06513727832461058
12000, 36 months,0.1099,B,95000.0,not verified,debt_consolidation,0.0,42.5,21.0,0,30.54756510449813,7.916666666666667,0.056301260824685034
16000, 36 months,0.0603,A,85000.0,VERIFIED - income source,major_purchase,0.0,0.9,9.0,0,32.85623344353861,5.3125,0.02977593789267652
17725, 60 months,0.1171,B,57000.0,VERIFIED - income,debt_consolidation,0.0,36.2,41.0,0,45.251467960173606,3.2157968970380817,0.14929510339212967
18050, 36 months,0.1,B,75288.0,not verified,debt_consolidation,0.0,61.2,19.0,0,30.99084868567897,4.171080332409972,0.077414798237287
15000, 36 months,0.1669,E,124000.0,not verified,debt_consolidation,4.0,91.2,16.0,0,28.170072115384613,8.266666666666667,0.1203478716927163
10000, 36 months,0.1682,E,60000.0,VERIFIED - income source,debt_consolidation,5.0,39.2,17.0,0,28.118321898549095,6.0,0.13938145766295248
8000, 36 months,0.1148,B,36000.0,VERIFIED - income,debt_consolidation,1.0,31.7,10.0,0,30.33175355450237,4.5,0.14502332516472768
3000, 36 months,0.1065,B,21000.0,VERIFIED - income,other,0.0,93.2,8.0,0,30.699959066721245,7.0,0.20160019702684864
5000, 36 months,0.0542,A,36600.0,not verified,other,0.0,3.5,33.0,0,33.15649867374005,7.32,0.0542328338921309
1000, 36 months,0.1189,B,87000.0,not verified,other,0.0,55.2,18.0,0,30.14772384684956,87.0,0.08030096037385231
14400, 36 months,0.0788,A,96216.0,VERIFIED - income,home_improvement,2.0,0.4,47.0,0,31.968741674806857,6.681666666666667,0.026937933478884294
4200, 36 months,0.0599,A,63096.0,not verified,debt_consolidation,1.0,37.3,14.0,0,32.87413901064496,15.022857142857143,0.05022028726814443
25000, 60 months,0.2391,G,200000.0,VERIFIED - income source,debt_consolidation,1.0,45.8,41.0,0,34.82379161443098,8.0,0.23568989728792417
9000, 36 months,0.0749,A,35500.0,not verified,debt_consolidation,1.0,26.7,28.0,0,32.152043440983135,3.9444444444444446,0.06752754472445573
24625, 36 months,0.1835999999999999,G,84000.0,not verified,small_business,3.0,93.4,38.0,0,48.84652768135203,3.4111675126903553,0.3002140152426524
12000, 60 months,0.1491,D,36000.0,VERIFIED - income source,major_purchase,3.0,78.9,17.0,0,42.11708549768356,3.0,0.23160529652301706
3000, 36 months,0.0963,A,30000.0,not verified,wedding,0.0,38.8,11.0,0,31.155883269290683,10.0,0.06933989836337637
10400, 60 months,0.1099,B,42000.0,VERIFIED - income,debt_consolidation,0.0,18.7,15.0,0,46.00345025876941,4.038461538461538,0.15842785957850333
12000, 60 months,0.1903999999999999,F,100000.0,VERIFIED - income source,other,5.0,91.5,39.0,0,38.515855693927335,8.333333333333334,0.25110045822009824
16000, 36 months,0.0654,A,100000.0,VERIFIED - income,debt_consolidation,0.0,65.1,36.0,0,156.90889477297245,6.25,0.04282650880226909
15000, 36 months,0.1483,D,150000.0,VERIFIED - income source,debt_consolidation,6.0,68.6,22.0,0,28.916220071712225,10.0,0.09087990162464032
15000, 36 months,0.0894,A,62280.0,VERIFIED - income source,debt_consolidation,1.0,33.3,34.0,0,31.474254060178776,4.152,0.1109728889200423
10400, 36 months,0.0542,A,65000.0,not verified,debt_consolidation,0.0,46.4,24.0,0,33.15586444352345,6.25,0.057533465264528266
27525, 36 months,0.1074,B,80070.0,VERIFIED - income,small_business,0.0,74.7,39.0,0,30.65998329156224,2.908991825613079,0.17521051581261898
10000, 36 months,0.1299,C,72972.35,VERIFIED - income,credit_card,1.0,60.3,15.0,0,29.682398337785695,7.297235000000001,0.07667265681253671
1000, 60 months,0.1335,C,36000.0,VERIFIED - income source,debt_consolidation,0.0,85.2,13.0,0,43.59197907585004,36.0,0.22337884188381682
9600, 36 months,0.1199,B,35000.0,not verified,credit_card,0.0,71.6,22.0,0,30.11103443949564,3.6458333333333335,0.12116787813273872
3000, 36 months,0.1071,B,42264.0,not verified,debt_consolidation,2.0,53.4,19.0,0,30.671710459053266,14.088,0.09779714884759329
25000, 36 months,0.1061999999999999,B,133119.0,VERIFIED - income source,credit_card,1.0,64.6,55.0,0,30.71253071253071,5.32476,0.05959277934292423
15000, 36 months,0.0963,B,60996.0,VERIFIED - income source,other,0.0,30.9,34.0,0,31.15847198853368,4.0664,0.09576671091793848
