loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,is_bad
7350,7350, 36 months,0.0766,229.18,A,10.0,OWN,22000.0,VERIFIED - income source,other,FL,14.95,0.0,1001.3666666666667,0.0,4.0,0.0,8511,78.8,9.0,1
4000,4000, 60 months,0.1335,91.74,C,0.0,RENT,30000.0,VERIFIED - income source,debt_consolidation,NJ,19.32,0.0,887.7333333333333,0.0,9.0,0.0,5276,62.1,19.0,0
20000,20000, 36 months,0.1242,668.31,B,3.0,RENT,63000.0,VERIFIED - income,debt_consolidation,CA,19.09,0.0,926.3,1.0,12.0,0.0,16167,70.3,27.0,0
30000,30000, 36 months,0.1149,989.14,B,3.0,MORTGAGE,120000.0,VERIFIED - income source,house,IL,5.22,1.0,961.8,3.0,5.0,0.0,49805,0.0,36.0,0
12000,12000, 36 months,0.16,421.89,D,2.0,MORTGAGE,72000.0,not verified,small_business,OK,17.48,0.0,950.6333333333333,6.0,13.0,0.0,1249,6.1,23.0,1
20000,20000, 36 months,0.1199,664.2,B,1.0,RENT,350000.0,VERIFIED - income,credit_card,VA,12.22,0.0,989.2,0.0,8.0,0.0,27733,80.4,24.0,0
25000,16900, 60 months,0.16449999999999998,415.03,E,10.0,RENT,56000.0,VERIFIED - income,debt_consolidation,CA,15.43,0.0,980.1,0.0,6.0,0.0,4971,43.5,19.0,0
10000,10000, 36 months,0.1253,334.67,B,1.0,MORTGAGE,191000.0,not verified,educational,FL,12.2,0.0,1080.5666666666666,0.0,16.0,0.0,444,2.5,54.0,0
6900,6900, 36 months,0.09880000000000001,222.26,B,10.0,RENT,47480.0,not verified,other,NH,16.81,0.0,936.4333333333333,3.0,10.0,0.0,150,3.1,24.0,0
26000,26000, 60 months,0.1825,663.78,F,8.0,MORTGAGE,33600.0,VERIFIED - income,major_purchase,VA,3.93,0.0,923.2333333333333,1.0,5.0,0.0,8482,73.8,20.0,0
6000,6000, 36 months,0.1059,195.27,B,2.0,MORTGAGE,42000.0,not verified,other,NY,15.89,0.0,920.2333333333333,1.0,10.0,0.0,20691,51.6,20.0,0
5400,5400, 36 months,0.0742,167.78,A,5.0,MORTGAGE,40000.0,not verified,debt_consolidation,MA,10.71,0.0,857.3333333333334,0.0,11.0,0.0,2459,44.7,26.0,0
7500,7500, 36 months,0.1545,261.65,E,3.0,MORTGAGE,55000.0,not verified,credit_card,IL,24.94,0.0,994.3,8.0,16.0,0.0,41705,95.2,24.0,0
8000,8000, 36 months,0.1461,275.81,D,4.0,RENT,120000.0,not verified,other,CA,0.0,0.0,979.1,0.0,2.0,0.0,0,0.0,7.0,0
12025,12025, 36 months,0.1349,408.02,C,0.0,MORTGAGE,100000.0,VERIFIED - income,debt_consolidation,DC,19.99,0.0,902.9666666666667,1.0,6.0,0.0,24678,79.0,22.0,0
7200,7200, 60 months,0.138,166.79,C,3.0,MORTGAGE,48000.0,VERIFIED - income,debt_consolidation,NC,22.59,0.0,955.7333333333333,2.0,10.0,0.0,2894,36.2,13.0,0
11600,11600, 60 months,0.1349,266.86,C,5.0,RENT,41000.0,not verified,debt_consolidation,OR,20.69,0.0,915.1333333333333,0.0,6.0,0.0,10949,61.9,12.0,0
2800,2800, 36 months,0.07400000000000001,86.97,A,1.0,RENT,8000.0,VERIFIED - income source,car,GA,15.15,0.0,880.6666666666666,0.0,6.0,0.0,2146,20.2,16.0,0
25000,25000, 60 months,0.1491,593.57,D,10.0,MORTGAGE,80000.0,VERIFIED - income,debt_consolidation,KS,8.14,0.0,971.9333333333333,0.0,10.0,0.0,14563,68.1,23.0,0
20000,20000, 36 months,0.1099,654.68,B,2.0,RENT,95000.0,VERIFIED - income,credit_card,VA,13.65,0.0,866.4333333333333,0.0,8.0,0.0,27686,54.3,26.0,0
12500,12500, 36 months,0.1025,404.81,B,4.0,RENT,60000.0,VERIFIED - income,debt_consolidation,CO,9.46,0.0,941.5333333333333,0.0,14.0,0.0,9936,16.7,29.0,0
6000,6000, 36 months,0.1059,195.27,B,2.0,RENT,42000.0,not verified,debt_consolidation,CA,12.74,0.0,906.0333333333333,3.0,11.0,0.0,528,9.1,22.0,0
7000,7000, 36 months,0.11109999999999999,229.54,B,3.0,OWN,36400.0,not verified,debt_consolidation,IL,10.98,0.0,875.5666666666667,1.0,8.0,0.0,6772,72.8,18.0,0
12000,12000, 36 months,0.1306,404.68,C,1.0,RENT,65400.0,VERIFIED - income source,credit_card,CA,17.71,0.0,984.1,3.0,8.0,0.0,13041,81.5,36.0,0
13300,8275, 60 months,0.1112,180.42,B,2.0,RENT,58000.0,not verified,debt_consolidation,NJ,13.55,0.0,903.9666666666667,3.0,7.0,0.0,7616,58.1,16.0,0
14000,14000, 60 months,0.1399,325.69,C,4.0,RENT,315600.0,VERIFIED - income source,debt_consolidation,NJ,0.98,0.0,838.0,2.0,6.0,0.0,1555,24.7,10.0,0
3000,3000, 36 months,0.0579,90.99,A,2.0,MORTGAGE,45000.0,not verified,home_improvement,MD,7.79,0.0,953.7,1.0,9.0,0.0,780,4.1,19.0,0
6000,6000, 36 months,0.0751,186.66,A,5.0,RENT,55000.0,not verified,debt_consolidation,CT,22.28,0.0,922.2666666666667,2.0,13.0,0.0,14217,20.2,25.0,0
9000,9000, 36 months,0.07139999999999999,278.48,A,4.0,MORTGAGE,141000.0,VERIFIED - income,major_purchase,MO,8.31,0.0,1013.5333333333333,3.0,10.0,0.0,55142,45.8,24.0,0
16675,16675, 60 months,0.11710000000000001,368.49,B,7.0,MORTGAGE,72000.0,not verified,car,OR,8.68,0.0,976.0333333333333,0.0,10.0,0.0,18885,66.3,43.0,0
15000,15000, 36 months,0.1392,512.06,C,0.0,MORTGAGE,35000.0,VERIFIED - income source,debt_consolidation,WI,14.5,0.0,924.2666666666667,3.0,12.0,0.0,17717,67.4,26.0,0
5500,5500, 36 months,0.1273,184.62,C,3.0,MORTGAGE,42240.0,not verified,debt_consolidation,FL,13.35,1.0,1082.5333333333333,1.0,5.0,0.0,15974,48.9,16.0,0
12000,12000, 36 months,0.0579,363.93,A,10.0,MORTGAGE,66000.0,not verified,home_improvement,AZ,12.58,0.0,963.8333333333334,1.0,11.0,0.0,5723,8.4,38.0,0
12000,12000, 36 months,0.11710000000000001,396.92,B,6.0,RENT,86496.0,VERIFIED - income source,debt_consolidation,NY,14.19,0.0,912.0666666666667,0.0,6.0,0.0,12915,85.0,12.0,0
7800,7800, 60 months,0.1,165.73,B,10.0,RENT,52656.0,VERIFIED - income,medical,NY,7.7,0.0,1110.9333333333334,0.0,16.0,0.0,0,0.0,24.0,0
16000,16000, 60 months,0.2235,445.1,F,1.0,MORTGAGE,120000.0,VERIFIED - income source,other,MD,21.16,4.0,1088.6666666666667,1.0,25.0,0.0,43109,72.3,49.0,1
1925,1925, 36 months,0.12179999999999999,64.11,B,0.0,RENT,30000.0,not verified,educational,SC,8.36,0.0,851.2,2.0,14.0,0.0,277,46.2,15.0,0
10000,10000, 36 months,0.0542,301.6,A,10.0,MORTGAGE,120000.0,not verified,major_purchase,CA,6.98,0.0,1161.7,0.0,15.0,0.0,78330,28.6,31.0,0
6000,6000, 36 months,0.079,187.75,A,0.0,RENT,23040.0,VERIFIED - income source,credit_card,CA,12.66,0.0,937.4666666666667,0.0,6.0,0.0,8282,62.3,11.0,1
5375,5375, 60 months,0.12689999999999999,121.45,B,0.0,RENT,15000.0,VERIFIED - income,other,TX,18.08,0.0,867.4333333333333,0.0,2.0,0.0,9279,36.5,3.0,1
22800,22800, 36 months,0.12210000000000001,759.58,B,3.0,OWN,43000.0,VERIFIED - income,debt_consolidation,VA,15.49,1.0,921.2333333333333,1.0,9.0,0.0,19226,70.9,32.0,0
5000,5000, 36 months,0.0967,160.57,B,10.0,MORTGAGE,99600.0,VERIFIED - income,medical,CA,15.22,0.0,1211.4,0.0,11.0,0.0,60631,70.3,28.0,0
8000,8000, 36 months,0.1242,267.33,B,10.0,RENT,40000.0,not verified,credit_card,OR,15.0,0.0,871.5333333333333,0.0,10.0,0.0,18601,88.2,11.0,0
2500,2500, 36 months,0.18780000000000002,91.37,F,0.0,RENT,65000.0,not verified,small_business,MN,2.79,1.0,929.3666666666667,2.0,4.0,1.0,2601,40.6,7.0,0
17800,17800, 36 months,0.1025,576.45,B,6.0,MORTGAGE,61781.0,VERIFIED - income,credit_card,OH,17.15,0.0,1153.6,4.0,10.0,0.0,23065,51.1,31.0,0
14400,14400, 36 months,0.1114,472.4,B,3.0,RENT,72000.0,VERIFIED - income,debt_consolidation,MI,14.75,0.0,910.1,0.0,19.0,0.0,18421,67.0,28.0,0
11200,11200, 60 months,0.1099,243.46,B,3.0,RENT,29000.0,not verified,debt_consolidation,PA,17.63,0.0,891.8,0.0,15.0,0.0,1155,11.3,24.0,0
10000,10000, 36 months,0.138,340.81,C,10.0,MORTGAGE,42500.0,VERIFIED - income,debt_consolidation,IL,0.28,0.0,954.7333333333333,3.0,3.0,1.0,45,0.6,16.0,0
8000,8000, 36 months,0.0999,258.1,B,0.0,RENT,53052.0,VERIFIED - income source,other,TX,18.95,0.0,861.4,0.0,4.0,0.0,4556,53.6,7.0,0
5750,5750, 36 months,0.08,180.19,A,1.0,RENT,70000.0,VERIFIED - income source,credit_card,DC,2.59,0.0,975.0,1.0,11.0,0.0,5231,2.4,20.0,0
13000,13000, 36 months,0.08900000000000001,412.8,A,0.0,RENT,25000.0,VERIFIED - income source,debt_consolidation,AK,14.59,0.0,850.1666666666666,1.0,13.0,0.0,11338,18.6,30.0,0
4000,4000, 36 months,0.19030000000000002,146.69,E,10.0,MORTGAGE,80000.0,not verified,vacation,NC,20.59,1.0,954.7333333333333,2.0,30.0,0.0,6654,22.6,56.0,0
6000,6000, 36 months,0.08900000000000001,190.52,A,4.0,MORTGAGE,71000.0,VERIFIED - income,debt_consolidation,FL,13.81,0.0,921.2333333333333,0.0,14.0,0.0,6953,67.5,24.0,1
14075,14075, 60 months,0.1268,317.95,C,8.0,MORTGAGE,61200.0,VERIFIED - income source,debt_consolidation,AR,20.94,0.0,888.7666666666667,3.0,8.0,0.0,3943,33.4,20.0,0
5500,5500, 36 months,0.1261,184.29,C,1.0,RENT,48000.0,VERIFIED - income,wedding,NY,2.6,0.0,833.0,0.0,4.0,0.0,3935,46.3,5.0,0
3300,3300, 36 months,0.0849,104.16,A,2.0,RENT,28956.0,VERIFIED - income source,debt_consolidation,TX,24.08,1.0,892.8333333333334,2.0,11.0,0.0,3349,21.2,20.0,0
12500,12500, 36 months,0.1149,412.15,B,2.0,MORTGAGE,60000.0,not verified,other,TX,1.36,1.0,1116.0333333333333,0.0,12.0,0.0,2193,10.5,21.0,0
8000,8000, 60 months,0.1491,189.95,D,5.0,RENT,44000.0,VERIFIED - income,debt_consolidation,FL,7.15,0.0,848.2,0.0,8.0,0.0,4913,63.4,12.0,1
8000,8000, 60 months,0.1558,192.77,D,3.0,MORTGAGE,55000.0,not verified,debt_consolidation,FL,12.56,0.0,851.2,2.0,7.0,0.0,4280,28.2,8.0,0
13000,13000, 36 months,0.0542,392.08,A,7.0,MORTGAGE,70000.0,not verified,credit_card,LA,13.53,0.0,1066.3333333333333,3.0,12.0,0.0,73764,22.5,39.0,0
2400,2400, 36 months,0.1362,81.59,D,1.0,RENT,47600.0,not verified,debt_consolidation,MD,15.53,0.0,876.6,1.0,6.0,0.0,1233,35.2,7.0,0
8000,8000, 60 months,0.1839,204.85,E,8.0,MORTGAGE,36000.0,not verified,debt_consolidation,CA,21.9,3.0,924.2666666666667,1.0,6.0,0.0,6965,89.3,20.0,0
6000,6000, 36 months,0.1,193.61,B,10.0,MORTGAGE,79992.0,VERIFIED - income,other,CA,21.75,1.0,959.7333333333333,0.0,13.0,0.0,16156,74.5,30.0,0
3200,3200, 36 months,0.1149,105.51,B,3.0,RENT,31000.0,VERIFIED - income source,debt_consolidation,FL,19.66,0.0,978.0666666666667,2.0,11.0,0.0,3058,28.8,12.0,0
24000,24000, 60 months,0.1149,527.71,B,1.0,RENT,60000.0,VERIFIED - income source,wedding,TX,19.94,0.0,944.6,0.0,9.0,0.0,22253,44.0,27.0,0
12000,12000, 60 months,0.16690000000000002,296.24,E,0.0,MORTGAGE,250000.0,VERIFIED - income,major_purchase,SC,1.42,4.0,1141.4333333333334,5.0,5.0,0.0,427,23.7,43.0,0
1200,1200, 36 months,0.1521,41.73,D,0.0,MORTGAGE,24000.0,VERIFIED - income source,home_improvement,IL,3.25,0.0,854.2666666666667,0.0,5.0,0.0,1680,56.0,7.0,0
7000,7000, 36 months,0.1223,233.27,C,0.0,RENT,25000.0,not verified,debt_consolidation,VA,21.36,0.0,893.8666666666667,0.0,4.0,0.0,1333,83.3,19.0,0
5000,5000, 36 months,0.0729,155.05,A,10.0,MORTGAGE,65000.0,VERIFIED - income source,vacation,GA,2.33,1.0,1058.1666666666667,1.0,8.0,0.0,2937,10.8,17.0,0
14500,14500, 36 months,0.1465,500.17,C,8.0,RENT,90000.0,VERIFIED - income,credit_card,MD,5.24,0.0,902.9666666666667,1.0,17.0,0.0,15077,46.7,28.0,0
10000,10000, 36 months,0.16449999999999998,353.78,E,10.0,RENT,55000.0,not verified,other,GA,16.97,0.0,1013.5333333333333,0.0,5.0,0.0,3052,41.8,22.0,1
5000,5000, 36 months,0.1411,171.15,D,4.0,RENT,159996.0,VERIFIED - income,credit_card,OH,6.84,0.0,974.0,0.0,11.0,0.0,18115,98.5,35.0,0
9600,9600, 36 months,0.1595,337.28,D,2.0,RENT,45000.0,not verified,debt_consolidation,PA,17.28,0.0,907.0333333333333,7.0,11.0,1.0,3102,48.5,29.0,0
15000,15000, 60 months,0.1595,364.38,E,4.0,RENT,70000.0,VERIFIED - income source,small_business,CA,6.17,0.0,867.4333333333333,0.0,3.0,0.0,4789,47.9,3.0,1
8000,8000, 36 months,0.0751,248.89,A,1.0,RENT,51400.0,not verified,debt_consolidation,VA,1.77,0.0,845.1666666666666,2.0,7.0,0.0,1744,16.0,9.0,0
16750,16750, 36 months,0.1253,560.57,B,4.0,RENT,33000.0,VERIFIED - income,debt_consolidation,MN,17.38,1.0,871.5333333333333,1.0,6.0,0.0,0,0.0,20.0,0
6000,6000, 60 months,0.0729,119.63,A,7.0,MORTGAGE,130000.0,VERIFIED - income,small_business,WA,7.76,0.0,1026.7666666666667,0.0,13.0,0.0,4039,14.8,38.0,0
25000,25000, 60 months,0.1361,576.67,C,1.0,MORTGAGE,137004.0,VERIFIED - income,debt_consolidation,SC,20.69,0.0,1012.5333333333333,0.0,15.0,0.0,116150,54.6,34.0,0
15600,15600, 60 months,0.1465,368.27,C,5.0,OWN,48575.0,VERIFIED - income source,debt_consolidation,VA,22.33,0.0,1130.2,1.0,15.0,0.0,9877,56.8,22.0,0
25000,25000, 36 months,0.1074,815.4,B,10.0,MORTGAGE,155000.0,VERIFIED - income,debt_consolidation,CA,12.4,0.0,1038.9333333333334,0.0,9.0,0.0,23039,26.6,36.0,0
8000,8000, 36 months,0.12210000000000001,266.52,B,10.0,MORTGAGE,81847.0,VERIFIED - income source,educational,NJ,6.03,0.0,1036.9,5.0,9.0,1.0,11754,41.0,21.0,0
6500,6500, 36 months,0.1268,218.02,C,9.0,MORTGAGE,55200.0,not verified,small_business,CA,20.39,2.0,936.4333333333333,0.0,9.0,0.0,35294,95.9,49.0,1
15000,15000, 36 months,0.1149,494.57,B,8.0,MORTGAGE,120000.0,VERIFIED - income,credit_card,CA,9.69,0.0,911.0333333333333,0.0,10.0,0.0,7796,32.2,27.0,1
30000,30000, 36 months,0.08900000000000001,952.6,A,3.0,MORTGAGE,200000.0,VERIFIED - income source,debt_consolidation,CA,6.71,0.0,924.2666666666667,0.0,11.0,0.0,8937,20.8,17.0,0
12000,12000, 36 months,0.11710000000000001,396.92,B,0.0,RENT,47840.0,VERIFIED - income,debt_consolidation,FL,24.18,0.0,872.5333333333333,0.0,8.0,0.0,21507,68.5,8.0,0
16400,16400, 36 months,0.1099,536.84,B,3.0,RENT,61000.0,VERIFIED - income source,vacation,TX,0.98,0.0,842.1,5.0,8.0,0.0,1939,6.2,9.0,0
20000,20000, 36 months,0.1322,676.02,C,7.0,OWN,61000.0,VERIFIED - income,house,PA,9.68,0.0,1009.4666666666667,3.0,7.0,1.0,1284,6.3,22.0,0
6000,6000, 36 months,0.08900000000000001,190.52,A,2.0,OWN,27600.0,VERIFIED - income source,debt_consolidation,GA,21.83,0.0,845.1666666666666,0.0,5.0,0.0,7135,46.6,6.0,0
6200,6200, 36 months,0.0603,188.71,A,8.0,RENT,65000.0,not verified,other,MA,0.65,0.0,908.0666666666667,0.0,7.0,0.0,1252,4.5,12.0,0
4750,4750, 36 months,0.07139999999999999,146.98,A,8.0,MORTGAGE,56000.0,not verified,debt_consolidation,WA,8.46,0.0,956.7666666666667,0.0,5.0,0.0,13923,77.3,12.0,0
8000,8000, 36 months,0.12179999999999999,266.4,B,5.0,RENT,36000.0,not verified,debt_consolidation,MA,17.27,0.0,937.4666666666667,3.0,9.0,1.0,7976,47.2,15.0,1
1750,1750, 36 months,0.157,61.27,D,3.0,RENT,22800.0,VERIFIED - income source,home_improvement,HI,24.89,0.0,918.2,1.0,3.0,0.0,192,48.0,5.0,1
1800,1800, 60 months,0.1557,43.37,D,4.0,MORTGAGE,40000.0,not verified,other,OH,16.47,0.0,967.9,4.0,9.0,0.0,8747,74.8,16.0,0
15000,15000, 36 months,0.1038,486.69,B,10.0,MORTGAGE,90474.0,VERIFIED - income,debt_consolidation,MD,9.64,0.0,1188.1,1.0,20.0,0.0,22400,19.9,62.0,0
20000,13675, 60 months,0.0691,270.21,A,10.0,MORTGAGE,130000.0,VERIFIED - income,debt_consolidation,AZ,5.39,0.0,975.0,0.0,6.0,0.0,20964,35.6,29.0,0
14550,14550, 36 months,0.11710000000000001,481.26,B,10.0,MORTGAGE,45000.0,VERIFIED - income source,credit_card,GA,15.6,0.0,929.3666666666667,0.0,4.0,0.0,17588,93.1,13.0,0
25000,25000, 36 months,0.1253,836.66,C,6.0,RENT,115000.0,VERIFIED - income,wedding,CA,1.39,0.0,883.7333333333333,1.0,9.0,0.0,30215,49.6,17.0,1
10000,10000, 36 months,0.1065,325.74,B,2.0,RENT,51400.0,not verified,credit_card,TX,19.14,0.0,915.1333333333333,3.0,10.0,0.0,10160,59.1,24.0,0
16750,16750, 36 months,0.1149,552.27,B,5.0,RENT,46199.0,VERIFIED - income,credit_card,CO,23.42,0.0,947.5666666666667,4.0,6.0,0.0,22558,76.5,11.0,0
14000,14000, 60 months,0.1528,335.13,D,10.0,MORTGAGE,82000.0,VERIFIED - income,home_improvement,MI,14.59,0.0,997.3,8.0,10.0,0.0,31830,41.3,28.0,0
12000,12000, 36 months,0.0729,372.12,A,9.0,MORTGAGE,61000.0,VERIFIED - income source,credit_card,AZ,5.08,0.0,872.5333333333333,0.0,5.0,0.0,12653,48.9,14.0,0
20000,20000, 60 months,0.1689,495.87,D,4.0,RENT,120000.0,VERIFIED - income,debt_consolidation,TX,15.23,0.0,972.9666666666667,1.0,11.0,0.0,25822,71.1,27.0,0
15000,15000, 36 months,0.15990000000000001,527.29,D,2.0,MORTGAGE,100000.0,VERIFIED - income source,debt_consolidation,WV,9.13,0.0,981.1333333333333,0.0,10.0,1.0,9331,79.1,24.0,0
20000,20000, 60 months,0.2206,553.07,F,,MORTGAGE,55200.0,VERIFIED - income,debt_consolidation,PA,16.76,0.0,62.9,1.0,26.0,0.0,26676,33.1,53.0,0
35000,35000, 36 months,0.1065,1140.07,B,3.0,MORTGAGE,112800.0,VERIFIED - income,debt_consolidation,NY,14.35,0.0,1075.4666666666667,1.0,17.0,0.0,38121,59.6,35.0,0
30000,30000, 60 months,0.1349,690.15,C,10.0,MORTGAGE,145000.0,VERIFIED - income,debt_consolidation,CT,5.74,0.0,1099.8,3.0,6.0,0.0,28648,61.0,26.0,0
9100,9100, 36 months,0.0603,276.97,A,10.0,MORTGAGE,75000.0,VERIFIED - income,debt_consolidation,TX,13.15,0.0,1070.3666666666666,0.0,13.0,0.0,13901,29.8,33.0,0
12000,12000, 36 months,0.1349,407.17,C,6.0,RENT,75000.0,VERIFIED - income source,debt_consolidation,MA,19.09,0.0,961.8,1.0,12.0,0.0,16865,70.0,32.0,0
35000,21750, 60 months,0.1929,567.69,E,5.0,RENT,65000.0,VERIFIED - income,debt_consolidation,TX,20.62,0.0,902.9666666666667,3.0,11.0,1.0,14658,68.2,27.0,0
16000,16000, 36 months,0.1422,548.55,C,3.0,RENT,50000.0,not verified,credit_card,IL,13.73,0.0,910.1,0.0,5.0,0.0,20791,94.5,10.0,0
8000,8000, 36 months,0.10619999999999999,260.48,B,10.0,RENT,85000.0,not verified,major_purchase,NJ,17.92,0.0,953.7,0.0,4.0,0.0,28824,39.2,7.0,0
5000,5000, 36 months,0.1099,163.68,B,10.0,RENT,137481.0,not verified,debt_consolidation,TX,4.81,1.0,1101.8333333333333,0.0,5.0,0.0,20042,50.9,34.0,0
2800,2800, 36 months,0.0962,89.85,B,4.0,RENT,47000.0,not verified,credit_card,CA,13.53,0.0,863.3666666666667,0.0,7.0,0.0,7686,78.4,10.0,0
11975,11975, 36 months,0.1629,422.73,D,5.0,RENT,58344.0,not verified,debt_consolidation,KS,6.38,0.0,928.3333333333334,1.0,6.0,0.0,11927,75.5,19.0,0
6000,6000, 60 months,0.1523,143.47,C,1.0,RENT,32400.0,not verified,car,MN,21.22,0.0,911.0333333333333,1.0,8.0,0.0,14667,69.2,15.0,0
8000,8000, 36 months,0.0788,250.25,A,1.0,MORTGAGE,122000.0,not verified,credit_card,IL,7.55,0.0,934.4666666666667,5.0,8.0,0.0,62681,25.9,25.0,0
8000,8000, 36 months,0.1677,284.31,D,5.0,MORTGAGE,65000.0,VERIFIED - income,debt_consolidation,IL,3.01,0.0,833.0,1.0,5.0,0.0,6526,94.6,8.0,1
9600,9600, 36 months,0.1,309.77,B,5.0,MORTGAGE,82000.0,not verified,debt_consolidation,OH,21.73,1.0,1027.8,6.0,15.0,0.0,111611,17.4,24.0,0
7500,7500, 36 months,0.1038,243.35,B,10.0,RENT,52000.0,VERIFIED - income,debt_consolidation,KY,16.57,0.0,981.1333333333333,1.0,7.0,0.0,5437,22.4,41.0,0
16800,16800, 60 months,0.1595,408.1,D,5.0,RENT,180000.0,VERIFIED - income source,debt_consolidation,CA,21.17,0.0,917.1666666666666,0.0,16.0,0.0,12318,78.0,61.0,0
4800,4800, 36 months,0.0692,148.04,A,10.0,RENT,55000.0,VERIFIED - income,other,NY,15.75,0.0,989.2,0.0,8.0,0.0,10572,53.9,18.0,0
11200,11200, 36 months,0.11710000000000001,370.46,B,3.0,RENT,78402.0,not verified,debt_consolidation,CA,10.24,1.0,944.6,0.0,3.0,0.0,1094,31.3,16.0,0
10000,10000, 36 months,0.11109999999999999,327.91,B,10.0,RENT,65496.0,not verified,other,TX,13.81,0.0,1086.6,1.0,11.0,0.0,5205,13.4,39.0,0
15000,15000, 36 months,0.09880000000000001,483.16,B,7.0,MORTGAGE,200000.0,VERIFIED - income,debt_consolidation,CA,3.74,0.0,1037.9,1.0,10.0,0.0,12147,67.5,18.0,0
5000,5000, 36 months,0.10710000000000001,163.01,B,4.0,MORTGAGE,30000.0,not verified,credit_card,IL,20.28,0.0,929.3666666666667,0.0,13.0,0.0,6024,45.3,24.0,0
21000,21000, 36 months,0.1316,709.18,C,2.0,MORTGAGE,114000.0,not verified,debt_consolidation,TX,15.02,0.0,1111.9666666666667,2.0,12.0,1.0,18071,65.5,24.0,0
5000,5000, 36 months,0.1099,163.67,B,4.0,OWN,37560.0,not verified,debt_consolidation,LA,26.84,0.0,917.1666666666666,0.0,4.0,0.0,17596,96.2,8.0,0
10500,10500, 60 months,0.1306,239.23,C,8.0,RENT,75000.0,VERIFIED - income source,major_purchase,LA,6.22,0.0,860.3666666666667,2.0,11.0,0.0,72,0.6,12.0,0
8000,8000, 36 months,0.1223,266.6,C,1.0,RENT,61000.0,not verified,credit_card,GA,23.08,0.0,908.0666666666667,5.0,7.0,0.0,9433,76.3,13.0,0
21000,21000, 60 months,0.1825,536.13,D,6.0,MORTGAGE,100000.0,VERIFIED - income,small_business,CA,13.31,0.0,985.1333333333333,1.0,16.0,0.0,13931,75.8,24.0,1
6000,6000, 36 months,0.09630000000000001,192.57,A,0.0,RENT,28000.0,not verified,major_purchase,PA,1.76,0.0,892.8333333333334,1.0,6.0,0.0,1292,4.3,8.0,0
