loan_amnt,term,int_rate,grade,annual_inc,verification_status,purpose,inq_last_6mths,revol_util,total_acc,is_bad,loan_amnt_per_installment,income_to_interest_ratio
6000, 36 months,0.1059,B,42000.0,not verified,debt_consolidation,3.0,9.1,22.0,0,30.72668612690121,7.0
7000, 36 months,0.11109999999999999,B,36400.0,not verified,debt_consolidation,1.0,72.8,18.0,0,30.495774157009674,5.2
12000, 36 months,0.1306,C,65400.0,VERIFIED - income source,credit_card,3.0,81.5,36.0,0,29.653059207274882,5.45
13300, 60 months,0.1112,B,58000.0,not verified,debt_consolidation,3.0,58.1,16.0,0,73.71688282895467,4.360902255639098
14000, 60 months,0.1399,C,315600.0,VERIFIED - income source,debt_consolidation,2.0,24.7,10.0,0,42.985661211581565,22.542857142857144
3000, 36 months,0.0579,A,45000.0,not verified,home_improvement,1.0,4.1,19.0,0,32.97065611605671,15.0
6000, 36 months,0.0751,A,55000.0,not verified,debt_consolidation,2.0,20.2,25.0,0,32.14400514304082,9.166666666666666
9000, 36 months,0.07139999999999999,A,141000.0,VERIFIED - income,major_purchase,3.0,45.8,24.0,0,32.318299339270325,15.666666666666666
16675, 60 months,0.11710000000000001,B,72000.0,not verified,car,0.0,66.3,43.0,0,45.252245651170995,4.31784107946027
15000, 36 months,0.1392,C,35000.0,VERIFIED - income source,debt_consolidation,3.0,67.4,26.0,0,29.29344217474515,2.3333333333333335
5500, 36 months,0.1273,C,42240.0,not verified,debt_consolidation,1.0,48.9,16.0,0,29.790921893619327,7.68
12000, 36 months,0.0579,A,66000.0,not verified,home_improvement,1.0,8.4,38.0,0,32.9733740004946,5.5
12000, 36 months,0.11710000000000001,B,86496.0,VERIFIED - income source,debt_consolidation,0.0,85.0,12.0,0,30.232792502267458,7.208
7800, 60 months,0.1,B,52656.0,VERIFIED - income,medical,0.0,0.0,24.0,0,47.06450250407289,6.75076923076923
16000, 60 months,0.2235,F,120000.0,VERIFIED - income source,other,1.0,72.3,49.0,1,35.94697820714446,7.5
1925, 36 months,0.12179999999999999,B,30000.0,not verified,educational,2.0,46.2,15.0,0,30.026516924036812,15.584415584415584
10000, 36 months,0.0542,A,120000.0,not verified,major_purchase,0.0,28.6,31.0,0,33.15649867374005,12.0
6000, 36 months,0.079,A,23040.0,VERIFIED - income source,credit_card,0.0,62.3,11.0,1,31.957390146471372,3.84
5375, 60 months,0.12689999999999999,B,15000.0,VERIFIED - income,other,0.0,36.5,3.0,1,44.25689584191025,2.7906976744186047
22800, 36 months,0.12210000000000001,B,43000.0,VERIFIED - income,debt_consolidation,1.0,70.9,32.0,0,30.016588114484318,1.8859649122807018
5000, 36 months,0.0967,B,99600.0,VERIFIED - income,medical,0.0,70.3,28.0,0,31.13906707355048,19.92
8000, 36 months,0.1242,B,40000.0,not verified,credit_card,0.0,88.2,11.0,0,29.925560169079418,5.0
2500, 36 months,0.18780000000000002,F,65000.0,not verified,small_business,2.0,40.6,7.0,0,27.36127831892306,26.0
17800, 36 months,0.1025,B,61781.0,VERIFIED - income,credit_card,4.0,51.1,31.0,0,30.8786538294735,3.4708426966292136
14400, 36 months,0.1114,B,72000.0,VERIFIED - income,debt_consolidation,0.0,67.0,28.0,0,30.48264182895851,5.0
11200, 60 months,0.1099,B,29000.0,not verified,debt_consolidation,0.0,11.3,24.0,0,46.003450258769405,2.5892857142857144
10000, 36 months,0.138,C,42500.0,VERIFIED - income,debt_consolidation,3.0,0.6,16.0,0,29.341862034564713,4.25
8000, 36 months,0.0999,B,53052.0,VERIFIED - income source,other,0.0,53.6,7.0,0,30.99573808601317,6.6315
5750, 36 months,0.08,A,70000.0,VERIFIED - income source,credit_card,1.0,2.4,20.0,0,31.91076086353294,12.173913043478262
13000, 36 months,0.08900000000000001,A,25000.0,VERIFIED - income source,debt_consolidation,1.0,18.6,30.0,0,31.492248062015502,1.9230769230769231
4000, 36 months,0.19030000000000002,E,80000.0,not verified,vacation,2.0,22.6,56.0,0,27.26838911991274,20.0
6000, 36 months,0.08900000000000001,A,71000.0,VERIFIED - income,debt_consolidation,0.0,67.5,24.0,1,31.492756665966827,11.833333333333334
14075, 60 months,0.1268,C,61200.0,VERIFIED - income source,debt_consolidation,3.0,33.4,20.0,0,44.26796666142475,4.3481349911190055
5500, 36 months,0.1261,C,48000.0,VERIFIED - income,wedding,0.0,46.3,5.0,0,29.844267187584787,8.727272727272727
3300, 36 months,0.0849,A,28956.0,VERIFIED - income source,debt_consolidation,2.0,21.2,20.0,0,31.682027649769587,8.774545454545455
12500, 36 months,0.1149,B,60000.0,not verified,other,0.0,10.5,21.0,0,30.32876379958753,4.8
8000, 60 months,0.1491,D,44000.0,VERIFIED - income,debt_consolidation,0.0,63.4,12.0,1,42.1163464069492,5.5
8000, 60 months,0.1558,D,55000.0,not verified,debt_consolidation,2.0,28.2,8.0,0,41.50023343881309,6.875
13000, 36 months,0.0542,A,70000.0,not verified,credit_card,3.0,22.5,39.0,0,33.15649867374005,5.384615384615385
2400, 36 months,0.1362,D,47600.0,not verified,debt_consolidation,1.0,35.2,7.0,0,29.415369530579728,19.833333333333332
8000, 60 months,0.1839,E,36000.0,not verified,debt_consolidation,1.0,89.3,20.0,0,39.05296558457408,4.5
6000, 36 months,0.1,B,79992.0,VERIFIED - income,other,0.0,74.5,30.0,0,30.99013480708641,13.332
3200, 36 months,0.1149,B,31000.0,VERIFIED - income source,debt_consolidation,2.0,28.8,12.0,0,30.328878779262627,9.6875
24000, 60 months,0.1149,B,60000.0,VERIFIED - income source,wedding,0.0,44.0,27.0,0,45.479524738966475,2.5
12000, 60 months,0.16690000000000002,E,250000.0,VERIFIED - income,major_purchase,5.0,23.7,43.0,0,40.50769646232784,20.833333333333332
1200, 36 months,0.1521,D,24000.0,VERIFIED - income source,home_improvement,0.0,56.0,7.0,0,28.75629043853343,20.0
7000, 36 months,0.1223,C,25000.0,not verified,debt_consolidation,0.0,83.3,19.0,0,30.008145067947012,3.5714285714285716
5000, 36 months,0.0729,A,65000.0,VERIFIED - income source,vacation,1.0,10.8,17.0,0,32.24766204450177,13.0
14500, 36 months,0.1465,C,90000.0,VERIFIED - income,credit_card,1.0,46.7,28.0,0,28.99014335126057,6.206896551724138
10000, 36 months,0.16449999999999998,E,55000.0,not verified,other,0.0,41.8,22.0,1,28.266154107072193,5.5
5000, 36 months,0.1411,D,159996.0,VERIFIED - income,credit_card,0.0,98.5,35.0,0,29.214139643587494,31.9992
9600, 36 months,0.1595,D,45000.0,not verified,debt_consolidation,7.0,48.5,29.0,0,28.462998102466795,4.6875
15000, 60 months,0.1595,E,70000.0,VERIFIED - income source,small_business,0.0,47.9,3.0,1,41.165815906471266,4.666666666666667
8000, 36 months,0.0751,A,51400.0,not verified,debt_consolidation,2.0,16.0,9.0,0,32.14271364859979,6.425
16750, 36 months,0.1253,B,33000.0,VERIFIED - income,debt_consolidation,1.0,0.0,20.0,0,29.88030040851276,1.9701492537313432
6000, 60 months,0.0729,A,130000.0,VERIFIED - income,small_business,0.0,14.8,38.0,0,50.154643484075905,21.666666666666668
25000, 60 months,0.1361,C,137004.0,VERIFIED - income,debt_consolidation,0.0,54.6,34.0,0,43.352350564447605,5.48016
15600, 60 months,0.1465,C,48575.0,VERIFIED - income source,debt_consolidation,1.0,56.8,22.0,0,42.36022483503951,3.113782051282051
25000, 36 months,0.1074,B,155000.0,VERIFIED - income,debt_consolidation,0.0,26.6,36.0,0,30.659798871719403,6.2
8000, 36 months,0.12210000000000001,B,81847.0,VERIFIED - income source,educational,5.0,41.0,21.0,0,30.016509079993998,10.230875
6500, 36 months,0.1268,C,55200.0,not verified,small_business,0.0,95.9,49.0,1,29.81377855242638,8.492307692307692
15000, 36 months,0.1149,B,120000.0,VERIFIED - income,credit_card,0.0,32.2,27.0,1,30.32937703459571,8.0
30000, 36 months,0.08900000000000001,A,200000.0,VERIFIED - income source,debt_consolidation,0.0,20.8,17.0,0,31.492756665966827,6.666666666666667
12000, 36 months,0.11710000000000001,B,47840.0,VERIFIED - income,debt_consolidation,0.0,68.5,8.0,0,30.232792502267458,3.986666666666667
16400, 36 months,0.1099,B,61000.0,VERIFIED - income source,vacation,5.0,6.2,9.0,0,30.549139408389834,3.7195121951219514
20000, 36 months,0.1322,C,61000.0,VERIFIED - income,house,3.0,6.3,22.0,0,29.584923522972694,3.05
6000, 36 months,0.08900000000000001,A,27600.0,VERIFIED - income source,debt_consolidation,0.0,46.6,6.0,0,31.492756665966827,4.6
6200, 36 months,0.0603,A,65000.0,not verified,other,0.0,4.5,12.0,0,32.85464469291505,10.483870967741936
4750, 36 months,0.07139999999999999,A,56000.0,not verified,debt_consolidation,0.0,77.3,12.0,0,32.31732208463737,11.789473684210526
8000, 36 months,0.12179999999999999,B,36000.0,not verified,debt_consolidation,3.0,47.2,15.0,1,30.030030030030034,4.5
1750, 36 months,0.157,D,22800.0,VERIFIED - income source,home_improvement,1.0,48.0,5.0,1,28.562102170719765,13.028571428571428
1800, 60 months,0.1557,D,40000.0,not verified,other,4.0,74.8,16.0,0,41.50334332487895,22.22222222222222
15000, 36 months,0.1038,B,90474.0,VERIFIED - income,debt_consolidation,1.0,19.9,62.0,0,30.820440115884853,6.0316
20000, 60 months,0.0691,A,130000.0,VERIFIED - income,debt_consolidation,0.0,35.6,29.0,0,74.01650568076681,6.5
14550, 36 months,0.11710000000000001,B,45000.0,VERIFIED - income source,credit_card,0.0,93.1,13.0,0,30.23313801271662,3.0927835051546393
25000, 36 months,0.1253,C,115000.0,VERIFIED - income,wedding,1.0,49.6,17.0,1,29.88071618100543,4.6
10000, 36 months,0.1065,B,51400.0,not verified,credit_card,3.0,59.1,24.0,0,30.69933075458955,5.14
16750, 36 months,0.1149,B,46199.0,VERIFIED - income,credit_card,4.0,76.5,11.0,0,30.329367881652093,2.7581492537313435
14000, 60 months,0.1528,D,82000.0,VERIFIED - income,home_improvement,8.0,41.3,28.0,0,41.77483364664459,5.857142857142857
12000, 36 months,0.0729,A,61000.0,VERIFIED - income source,credit_card,0.0,48.9,14.0,0,32.24766204450177,5.083333333333333
20000, 60 months,0.1689,D,120000.0,VERIFIED - income,debt_consolidation,1.0,71.1,27.0,0,40.33315183415008,6.0
15000, 36 months,0.15990000000000001,D,100000.0,VERIFIED - income source,debt_consolidation,0.0,79.1,24.0,0,28.447343966318346,6.666666666666667
20000, 60 months,0.2206,F,55200.0,VERIFIED - income,debt_consolidation,1.0,33.1,53.0,0,36.161787838790744,2.76
35000, 36 months,0.1065,B,112800.0,VERIFIED - income,debt_consolidation,1.0,59.6,35.0,0,30.69986930627067,3.222857142857143
30000, 60 months,0.1349,C,145000.0,VERIFIED - income,debt_consolidation,3.0,61.0,26.0,0,43.46881112801565,4.833333333333333
9100, 36 months,0.0603,A,75000.0,VERIFIED - income,debt_consolidation,0.0,29.8,33.0,0,32.85554392172437,8.241758241758241
12000, 36 months,0.1349,C,75000.0,VERIFIED - income source,debt_consolidation,1.0,70.0,32.0,0,29.471719429231033,6.25
35000, 60 months,0.1929,E,65000.0,VERIFIED - income,debt_consolidation,3.0,68.2,27.0,0,61.65336715460902,1.8571428571428572
16000, 36 months,0.1422,C,50000.0,not verified,credit_card,0.0,94.5,10.0,0,29.167806034089875,3.125
8000, 36 months,0.10619999999999999,B,85000.0,not verified,major_purchase,0.0,39.2,7.0,0,30.71253071253071,10.625
5000, 36 months,0.1099,B,137481.0,not verified,debt_consolidation,0.0,50.9,34.0,0,30.547409579667644,27.4962
2800, 36 months,0.0962,B,47000.0,not verified,credit_card,0.0,78.4,10.0,0,31.16304952698943,16.785714285714285
11975, 36 months,0.1629,D,58344.0,not verified,debt_consolidation,1.0,75.5,19.0,0,28.327774229413574,4.8721503131524
6000, 60 months,0.1523,C,32400.0,not verified,car,1.0,69.2,15.0,0,41.820589670314355,5.4
8000, 36 months,0.0788,A,122000.0,not verified,credit_card,5.0,25.9,25.0,0,31.96803196803197,15.25
8000, 36 months,0.1677,D,65000.0,VERIFIED - income,debt_consolidation,1.0,94.6,8.0,1,28.138299743238015,8.125
9600, 36 months,0.1,B,82000.0,not verified,debt_consolidation,6.0,17.4,24.0,0,30.99073506149724,8.541666666666666
7500, 36 months,0.1038,B,52000.0,VERIFIED - income,debt_consolidation,1.0,22.4,41.0,0,30.81980686254366,6.933333333333334
16800, 60 months,0.1595,D,180000.0,VERIFIED - income source,debt_consolidation,0.0,78.0,61.0,0,41.1663807890223,10.714285714285714
4800, 36 months,0.0692,A,55000.0,VERIFIED - income,other,0.0,53.9,18.0,0,32.423669278573364,11.458333333333334
11200, 36 months,0.11710000000000001,B,78402.0,not verified,debt_consolidation,0.0,31.3,16.0,0,30.23268369054689,7.000178571428571
10000, 36 months,0.11109999999999999,B,65496.0,not verified,other,1.0,13.4,39.0,0,30.496172730322343,6.5496
15000, 36 months,0.09880000000000001,B,200000.0,VERIFIED - income,debt_consolidation,1.0,67.5,18.0,0,31.04561635897011,13.333333333333334
5000, 36 months,0.10710000000000001,B,30000.0,not verified,credit_card,0.0,45.3,24.0,0,30.672964848782286,6.0
21000, 36 months,0.1316,C,114000.0,not verified,debt_consolidation,2.0,65.5,24.0,0,29.611664175526666,5.428571428571429
5000, 36 months,0.1099,B,37560.0,not verified,debt_consolidation,0.0,96.2,8.0,0,30.549275982159227,7.512
10500, 60 months,0.1306,C,75000.0,VERIFIED - income source,major_purchase,2.0,0.6,12.0,0,43.89081636918447,7.142857142857143
8000, 36 months,0.1223,C,61000.0,not verified,credit_card,5.0,76.3,13.0,0,30.007501875468865,7.625
21000, 60 months,0.1825,D,100000.0,VERIFIED - income,small_business,1.0,75.8,24.0,1,39.169604386995694,4.761904761904762
6000, 36 months,0.09630000000000001,A,28000.0,not verified,major_purchase,1.0,4.3,8.0,0,31.157501168406295,4.666666666666667
25000, 36 months,0.1607,D,130000.0,VERIFIED - income,credit_card,0.0,91.3,28.0,0,28.41393419332841,5.2
5000, 36 months,0.1149,B,37500.0,not verified,home_improvement,1.0,92.1,21.0,0,30.328763799587527,7.5
2100, 60 months,0.1483,D,45000.0,VERIFIED - income source,other,3.0,79.2,19.0,1,42.185616713539574,21.428571428571427
11200, 36 months,0.1398,C,52800.0,VERIFIED - income source,credit_card,1.0,85.0,12.0,1,29.266508139747575,4.714285714285714
6000, 36 months,0.15960000000000002,C,39168.0,not verified,debt_consolidation,1.0,81.6,30.0,1,28.4589479675568,6.528
4000, 36 months,0.1,B,58000.0,VERIFIED - income source,debt_consolidation,0.0,52.6,29.0,0,30.990935151468197,14.5
29000, 36 months,0.1565,D,88812.93,VERIFIED - income,credit_card,2.0,85.9,27.0,0,28.584101325710908,3.062514827586207
5000, 60 months,0.15990000000000001,D,42000.0,not verified,other,2.0,16.6,37.0,0,41.12856790326561,8.4
15850, 60 months,0.1864,E,43000.0,VERIFIED - income,other,2.0,48.5,12.0,0,38.845182952233905,2.7129337539432177
20000, 60 months,0.1839,E,115000.0,not verified,debt_consolidation,2.0,71.3,46.0,0,39.05258430476637,5.75
22500, 36 months,0.1183,B,93000.0,not verified,home_improvement,0.0,47.9,27.0,0,30.180276853739674,4.133333333333334
2100, 36 months,0.12210000000000001,B,10000.0,not verified,educational,0.0,6.2,4.0,0,30.012862655423753,4.761904761904762
24000, 36 months,0.1496,D,350000.0,not verified,small_business,7.0,56.0,33.0,0,28.862805464691167,14.583333333333334
12000, 60 months,0.16690000000000002,E,51996.0,VERIFIED - income source,debt_consolidation,3.0,63.0,14.0,0,40.50769646232784,4.333
14000, 36 months,0.0751,A,140000.0,VERIFIED - income source,credit_card,0.0,20.6,50.0,0,32.14252915786574,10.0
7150, 36 months,0.0699,A,61200.0,not verified,debt_consolidation,0.0,51.0,20.0,0,32.39104829210836,8.55944055944056
15500, 60 months,0.1349,C,40000.0,VERIFIED - income source,debt_consolidation,2.0,57.0,8.0,0,43.46850636603287,2.5806451612903225
2500, 36 months,0.1114,B,25000.0,not verified,house,0.0,73.1,10.0,0,30.484087306426044,10.0
24000, 36 months,0.1843,F,600000.0,VERIFIED - income,major_purchase,1.0,39.0,38.0,1,27.495188342040144,25.0
12000, 36 months,0.1099,B,95000.0,not verified,debt_consolidation,0.0,42.5,21.0,0,30.54756510449813,7.916666666666667
16000, 36 months,0.0603,A,85000.0,VERIFIED - income source,major_purchase,0.0,0.9,9.0,0,32.85623344353861,5.3125
17725, 60 months,0.11710000000000001,B,57000.0,VERIFIED - income,debt_consolidation,0.0,36.2,41.0,0,45.251467960173606,3.2157968970380817
18050, 36 months,0.1,B,75288.0,not verified,debt_consolidation,0.0,61.2,19.0,0,30.99084868567897,4.171080332409972
15000, 36 months,0.16690000000000002,E,124000.0,not verified,debt_consolidation,4.0,91.2,16.0,0,28.170072115384613,8.266666666666667
10000, 36 months,0.16820000000000002,E,60000.0,VERIFIED - income source,debt_consolidation,5.0,39.2,17.0,0,28.118321898549095,6.0
8000, 36 months,0.1148,B,36000.0,VERIFIED - income,debt_consolidation,1.0,31.7,10.0,0,30.33175355450237,4.5
3000, 36 months,0.1065,B,21000.0,VERIFIED - income,other,0.0,93.2,8.0,0,30.699959066721245,7.0
5000, 36 months,0.0542,A,36600.0,not verified,other,0.0,3.5,33.0,0,33.15649867374005,7.32
1000, 36 months,0.1189,B,87000.0,not verified,other,0.0,55.2,18.0,0,30.147723846849562,87.0
14400, 36 months,0.0788,A,96216.0,VERIFIED - income,home_improvement,2.0,0.4,47.0,0,31.968741674806857,6.681666666666667
4200, 36 months,0.0599,A,63096.0,not verified,debt_consolidation,1.0,37.3,14.0,0,32.87413901064496,15.022857142857143
25000, 60 months,0.2391,G,200000.0,VERIFIED - income source,debt_consolidation,1.0,45.8,41.0,0,34.82379161443098,8.0
9000, 36 months,0.07490000000000001,A,35500.0,not verified,debt_consolidation,1.0,26.7,28.0,0,32.152043440983135,3.9444444444444446
24625, 36 months,0.18359999999999999,G,84000.0,not verified,small_business,3.0,93.4,38.0,0,48.846527681352036,3.4111675126903553
12000, 60 months,0.1491,D,36000.0,VERIFIED - income source,major_purchase,3.0,78.9,17.0,0,42.11708549768356,3.0
3000, 36 months,0.09630000000000001,A,30000.0,not verified,wedding,0.0,38.8,11.0,0,31.155883269290683,10.0
10400, 60 months,0.1099,B,42000.0,VERIFIED - income,debt_consolidation,0.0,18.7,15.0,0,46.00345025876941,4.038461538461538
12000, 60 months,0.19039999999999999,F,100000.0,VERIFIED - income source,other,5.0,91.5,39.0,0,38.515855693927335,8.333333333333334
16000, 36 months,0.0654,A,100000.0,VERIFIED - income,debt_consolidation,0.0,65.1,36.0,0,156.90889477297245,6.25
15000, 36 months,0.1483,D,150000.0,VERIFIED - income source,debt_consolidation,6.0,68.6,22.0,0,28.916220071712225,10.0
15000, 36 months,0.0894,A,62280.0,VERIFIED - income source,debt_consolidation,1.0,33.3,34.0,0,31.474254060178776,4.152
10400, 36 months,0.0542,A,65000.0,not verified,debt_consolidation,0.0,46.4,24.0,0,33.15586444352345,6.25
27525, 36 months,0.1074,B,80070.0,VERIFIED - income,small_business,0.0,74.7,39.0,0,30.659983291562238,2.908991825613079
10000, 36 months,0.12990000000000002,C,72972.35,VERIFIED - income,credit_card,1.0,60.3,15.0,0,29.682398337785695,7.297235000000001
1000, 60 months,0.1335,C,36000.0,VERIFIED - income source,debt_consolidation,0.0,85.2,13.0,0,43.59197907585004,36.0
9600, 36 months,0.1199,B,35000.0,not verified,credit_card,0.0,71.6,22.0,0,30.11103443949564,3.6458333333333335
3000, 36 months,0.10710000000000001,B,42264.0,not verified,debt_consolidation,2.0,53.4,19.0,0,30.671710459053266,14.088
25000, 36 months,0.10619999999999999,B,133119.0,VERIFIED - income source,credit_card,1.0,64.6,55.0,0,30.71253071253071,5.32476
15000, 36 months,0.09630000000000001,B,60996.0,VERIFIED - income source,other,0.0,30.9,34.0,0,31.15847198853368,4.0664
5000, 36 months,0.13720000000000002,C,28000.0,VERIFIED - income,debt_consolidation,1.0,70.0,16.0,1,29.375477351506962,5.6
8000, 36 months,0.12179999999999999,B,40000.0,not verified,debt_consolidation,0.0,31.5,13.0,0,30.030030030030034,5.0
5000, 36 months,0.0579,A,25040.0,VERIFIED - income source,home_improvement,0.0,8.5,8.0,0,32.97283038776049,5.008
12000, 36 months,0.10619999999999999,B,150000.0,not verified,debt_consolidation,1.0,84.2,46.0,0,30.71253071253071,12.5
3200, 36 months,0.0751,A,48000.0,VERIFIED - income source,major_purchase,0.0,50.1,22.0,0,32.14142225793491,15.0
8000, 36 months,0.1496,D,120000.0,not verified,debt_consolidation,3.0,81.1,25.0,0,28.864193967383457,15.0
6000, 36 months,0.07490000000000001,A,14400.0,VERIFIED - income source,other,0.0,31.7,7.0,0,32.15261775896254,2.4
9600, 36 months,0.11710000000000001,B,53000.0,not verified,credit_card,0.0,63.8,18.0,0,30.23336377665103,5.520833333333333
13850, 36 months,0.12869999999999998,C,42452.0,VERIFIED - income,debt_consolidation,2.0,82.6,17.0,0,29.732514705250956,3.065126353790614
22500, 60 months,0.1727,D,67735.0,VERIFIED - income source,debt_consolidation,2.0,75.6,16.0,0,40.00284464673043,3.0104444444444445
3600, 36 months,0.0999,B,35000.0,VERIFIED - income,debt_consolidation,0.0,9.7,17.0,0,30.994403788204906,9.722222222222221
30000, 36 months,0.1562,D,125004.0,VERIFIED - income,debt_consolidation,1.0,50.3,34.0,0,28.595939376608523,4.1668
4325, 36 months,0.07490000000000001,A,44300.0,VERIFIED - income source,credit_card,0.0,35.2,34.0,0,32.15135295866785,10.242774566473988
20000, 36 months,0.1112,B,62400.0,VERIFIED - income,debt_consolidation,0.0,40.3,18.0,0,37.52838083800875,3.12
20000, 36 months,0.16820000000000002,E,88000.0,VERIFIED - income,debt_consolidation,0.0,45.5,43.0,1,28.118717224120235,4.4
10000, 36 months,0.0729,A,75000.0,VERIFIED - income source,home_improvement,1.0,2.1,8.0,0,32.24766204450177,7.5
7000, 36 months,0.1496,D,43800.0,not verified,debt_consolidation,1.0,70.1,30.0,1,28.863598878443014,6.257142857142857
3000, 36 months,0.1562,C,60000.0,VERIFIED - income,wedding,0.0,77.7,23.0,0,28.595939376608523,20.0
9325, 36 months,0.1646,F,50000.0,not verified,debt_consolidation,0.0,82.9,20.0,0,28.260144861654087,5.361930294906166
6000, 36 months,0.07139999999999999,A,49800.0,VERIFIED - income source,debt_consolidation,2.0,4.8,27.0,0,32.31887961217345,8.3
5000, 60 months,0.1112,B,40000.0,VERIFIED - income source,debt_consolidation,2.0,12.1,30.0,0,45.8631443771785,8.0
12500, 36 months,0.1496,D,62400.0,VERIFIED - income source,moving,0.0,31.7,19.0,0,28.863027616144823,4.992
5000, 60 months,0.16449999999999998,E,48000.0,VERIFIED - income,debt_consolidation,5.0,63.4,13.0,0,40.71992833292613,9.6
4650, 36 months,0.0662,A,37000.0,VERIFIED - income source,credit_card,0.0,57.1,15.0,0,32.56758649670822,7.956989247311828
1800, 36 months,0.102,B,42000.0,not verified,home_improvement,2.0,26.1,13.0,0,30.89598352214212,23.333333333333332
2000, 36 months,0.1114,B,42000.0,not verified,educational,0.0,15.7,42.0,0,30.483158055174517,21.0
